ID_Ponto,Data,Temperatura_Media_C,Precipitacao_Diaria_mm,Umidade_Relativa_Pct,Radiacao_Solar_MJm2,Evapotranspiracao_mm,Qualidade_Ar_IQAr,Emissao_CO2_gm2,NDVI,EVI,Umidade_Solo_Pct,Crescimento_Acumulado_cm,Crescimento_Semanal_cm,Crescimento_Mensal_cm,Especie_Predominante,Tipo_Solo,Declividade_Pct,Altitude_m,Orientacao_Encosta,Data_Ultima_Poda,Dias_Desde_Poda,Intensidade_Ultima_Poda,Dia_Ano,Semana_Ano,Mes,Estacao,Chuva_Acum_7d_mm,Chuva_Acum_15d_mm,Chuva_Acum_30d_mm,Temp_Media_7d_C,Temp_Media_15d_C,Temp_Media_30d_C,Dias_Sem_Chuva
RODO_KM_01,2023-01-15,20.9,15.5,69.3,18.3,3.82,36,455.9,0.67,0.45,32.9,5.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,7,Leve,15,2,1,Verão,37.4,120.8,120.8,23.7,23.8,23.8,0
RODO_KM_01,2023-01-16,27.8,14.9,57.4,15.8,4.76,41,455.6,0.71,0.46,35.8,6.2,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,8,Leve,16,3,1,Verão,52.3,133.9,135.7,24.4,24.1,24.1,0
RODO_KM_01,2023-01-17,21.1,43.3,68.7,10.3,2.77,41,457.3,0.83,0.53,43.3,7.0,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,9,Leve,17,3,1,Verão,92.5,133.5,179.0,23.7,23.7,23.9,0
RODO_KM_01,2023-01-18,24.4,0.0,64.2,22.7,4.6,40,455.1,0.73,0.46,34.0,7.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,10,Leve,18,3,1,Verão,92.5,133.5,179.0,23.6,23.8,23.9,1
RODO_KM_01,2023-01-19,23.4,9.8,71.2,19.3,4.09,30,438.3,0.73,0.48,33.5,8.6,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,11,Leve,19,3,1,Verão,94.2,126.4,188.8,23.3,23.9,23.9,0
RODO_KM_01,2023-01-20,25.9,0.0,62.0,24.1,5.24,33,444.2,0.74,0.49,31.6,9.3,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,12,Leve,20,3,1,Verão,83.5,126.4,188.8,23.9,24.2,24.0,1
RODO_KM_01,2023-01-21,28.1,0.0,62.5,23.4,5.44,36,454.6,0.7,0.45,28.1,10.2,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-08,13,Leve,21,3,1,Verão,83.5,122.2,188.8,24.5,24.3,24.2,2
RODO_KM_01,2023-01-22,24.7,48.1,69.9,7.8,3.16,25,444.5,0.88,0.57,41.9,12.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,0,Severa,22,3,1,Verão,116.1,157.0,236.9,25.1,24.5,24.2,0
RODO_KM_01,2023-01-23,27.9,0.0,66.9,19.0,4.78,33,452.4,0.82,0.54,37.2,0.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,1,Severa,23,4,1,Verão,101.2,153.5,236.9,25.1,24.6,24.4,1
RODO_KM_01,2023-01-24,26.7,2.3,60.2,20.3,5.18,37,425.5,0.88,0.58,40.4,1.6,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,2,Severa,24,4,1,Verão,60.2,155.8,239.2,25.9,24.9,24.5,0
RODO_KM_01,2023-01-25,20.7,17.0,68.5,17.6,3.65,30,435.1,0.83,0.54,38.6,2.4,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,3,Severa,25,4,1,Verão,77.2,169.7,256.2,25.3,24.5,24.3,0
RODO_KM_01,2023-01-26,21.4,11.5,68.0,18.7,4.01,27,449.8,0.88,0.58,47.3,3.1,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,4,Severa,26,4,1,Verão,78.9,181.2,267.7,25.1,24.3,24.2,0
RODO_KM_01,2023-01-27,25.0,10.6,64.6,19.0,4.49,42,431.8,0.88,0.57,50.0,3.9,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,5,Severa,27,4,1,Verão,89.5,183.7,278.3,24.9,24.2,24.2,0
RODO_KM_01,2023-01-28,26.0,0.0,63.9,22.3,5.03,34,431.5,0.88,0.59,42.5,4.7,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,6,Severa,28,4,1,Verão,89.5,173.0,278.3,24.6,24.5,24.3,1
RODO_KM_01,2023-01-29,25.4,0.0,62.9,20.8,4.52,41,458.4,0.88,0.58,44.2,5.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,7,Severa,29,4,1,Verão,41.4,173.0,278.3,24.7,24.6,24.3,2
RODO_KM_01,2023-01-30,23.0,32.0,66.4,14.0,3.69,39,466.4,0.88,0.57,50.0,6.2,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,8,Severa,30,5,1,Verão,73.4,189.5,310.3,24.0,24.8,24.3,0
RODO_KM_01,2023-01-31,25.3,0.0,63.9,24.9,5.22,27,425.7,0.88,0.58,45.6,7.0,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,9,Severa,31,5,1,Verão,71.1,174.6,308.5,23.8,24.6,24.3,1
RODO_KM_01,2023-02-01,26.2,0.0,61.6,20.7,4.78,34,455.4,0.79,0.51,33.0,7.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,10,Severa,32,5,2,Verão,54.1,131.3,264.8,24.6,24.9,24.3,2
RODO_KM_01,2023-02-02,25.5,0.0,59.5,21.4,4.82,42,463.5,0.82,0.53,35.5,8.6,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,11,Severa,33,5,2,Verão,42.6,131.3,264.8,25.2,25.0,24.4,3
RODO_KM_01,2023-02-03,27.9,18.0,53.2,19.0,4.96,34,430.6,0.85,0.56,34.9,9.3,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-01-22,12,Severa,34,5,2,Verão,50.0,139.5,265.9,25.6,25.3,24.6,0
RODO_KM_01,2023-02-04,25.7,4.0,62.4,20.3,4.73,35,456.8,0.85,0.58,37.4,15.0,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,0,Severa,35,5,2,Verão,54.0,143.5,269.9,25.6,25.3,24.7,0
RODO_KM_01,2023-02-05,25.5,0.0,66.0,24.7,4.95,41,427.4,0.85,0.54,37.5,0.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,1,Severa,36,5,2,Verão,54.0,143.5,265.7,25.6,25.1,24.7,1
RODO_KM_01,2023-02-06,27.1,44.0,56.4,5.9,3.6,37,459.0,0.88,0.58,39.1,1.6,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,2,Severa,37,6,2,Verão,66.0,139.4,296.4,26.2,25.3,24.9,0
RODO_KM_01,2023-02-07,24.2,0.0,68.5,21.3,4.05,43,449.9,0.86,0.55,39.2,2.4,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,3,Severa,38,6,2,Verão,66.0,139.4,292.9,26.0,25.0,24.8,1
RODO_KM_01,2023-02-08,24.5,0.0,64.8,21.5,4.21,31,445.2,0.88,0.56,38.0,3.1,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,4,Severa,39,6,2,Verão,66.0,137.1,292.9,25.8,24.9,24.9,2
RODO_KM_01,2023-02-09,23.7,0.0,70.2,22.2,4.61,39,477.7,0.84,0.56,34.3,3.9,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,5,Severa,40,6,2,Verão,66.0,120.1,289.8,25.5,25.1,24.8,3
RODO_KM_01,2023-02-10,26.1,0.0,65.2,21.3,4.67,32,460.1,0.8,0.52,29.6,4.7,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,6,Severa,41,6,2,Verão,48.0,108.6,289.8,25.3,25.4,24.8,4
RODO_KM_01,2023-02-11,19.1,0.0,73.3,19.9,3.05,42,456.2,0.74,0.48,28.3,5.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,7,Severa,42,6,2,Verão,44.0,98.0,281.7,24.3,25.0,24.6,5
RODO_KM_01,2023-02-12,21.2,1.7,68.3,22.0,3.83,32,422.5,0.78,0.5,27.1,6.2,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,8,Severa,43,6,2,Verão,45.7,99.7,272.7,23.7,24.7,24.6,0
RODO_KM_01,2023-02-13,25.8,0.5,55.2,20.7,4.81,29,426.5,0.76,0.49,23.0,7.0,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,9,Severa,44,7,2,Verão,2.2,100.2,273.2,23.5,24.7,24.7,0
RODO_KM_01,2023-02-14,22.8,0.0,60.8,23.3,4.41,32,447.1,0.64,0.44,17.1,7.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,10,Severa,45,7,2,Verão,2.2,68.2,257.7,23.3,24.7,24.7,1
RODO_KM_01,2023-02-15,23.7,7.5,62.5,18.3,4.14,39,432.2,0.72,0.44,20.8,8.6,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,11,Severa,46,7,2,Verão,9.7,75.7,250.3,23.2,24.6,24.6,0
RODO_KM_01,2023-02-16,22.5,0.2,58.5,20.3,4.1,31,431.9,0.67,0.45,21.2,9.3,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,12,Severa,47,7,2,Verão,9.9,75.9,207.2,23.0,24.4,24.6,0
RODO_KM_01,2023-02-17,26.1,0.0,57.5,20.7,5.14,39,431.2,0.61,0.38,18.3,11.0,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-04,13,Severa,48,7,2,Verão,9.9,75.9,207.2,23.0,24.4,24.7,1
RODO_KM_01,2023-02-18,21.0,0.0,64.7,22.7,4.09,36,409.0,0.62,0.42,17.9,15.0,5.0,20.5,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,0,Leve,49,7,2,Verão,9.9,57.9,197.4,23.3,23.9,24.6,2
RODO_KM_01,2023-02-19,24.3,0.0,53.9,25.9,5.07,41,458.8,0.6,0.39,11.7,0.7,5.0,20.5,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,1,Leve,50,7,2,Verão,8.2,53.9,197.4,23.7,23.8,24.6,3
RODO_KM_01,2023-02-20,24.0,0.0,59.8,21.7,4.67,32,457.0,0.58,0.36,18.3,1.4,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,2,Leve,51,8,2,Verão,7.7,53.9,197.4,23.5,23.7,24.4,4
RODO_KM_01,2023-02-21,25.1,0.0,65.3,21.1,4.53,43,458.4,0.51,0.33,8.0,2.1,4.8,19.7,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,3,Leve,52,8,2,Verão,7.7,9.9,149.3,23.8,23.6,24.4,5
RODO_KM_01,2023-02-22,26.2,0.0,55.6,22.8,5.24,46,462.3,0.48,0.32,8.0,2.8,4.9,20.1,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,4,Leve,53,8,2,Verão,0.2,9.9,149.3,24.2,23.7,24.4,6
RODO_KM_01,2023-02-23,25.1,10.6,56.9,21.7,4.91,36,453.8,0.55,0.34,9.7,3.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,5,Leve,54,8,2,Verão,10.6,20.5,157.6,24.5,23.8,24.3,0
RODO_KM_01,2023-02-24,21.5,0.0,57.6,18.6,4.22,42,437.2,0.49,0.32,8.0,4.1,4.4,18.0,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,6,Leve,55,8,2,Verão,10.6,20.5,140.6,23.9,23.6,24.4,1
RODO_KM_01,2023-02-25,27.1,0.0,58.7,23.5,5.14,39,456.7,0.51,0.33,8.0,4.8,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,7,Leve,56,8,2,Verão,10.6,20.5,129.1,24.8,23.7,24.6,2
RODO_KM_01,2023-02-26,24.7,7.3,56.8,19.9,5.06,29,479.4,0.48,0.31,9.7,5.5,5.1,20.9,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,8,Leve,57,8,2,Verão,17.9,27.8,125.8,24.8,24.1,24.5,0
RODO_KM_01,2023-02-27,24.2,0.0,62.3,24.4,4.59,33,414.4,0.49,0.32,8.0,6.2,4.8,19.7,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,9,Leve,58,9,2,Verão,17.9,26.1,125.8,24.8,24.3,24.5,1
RODO_KM_01,2023-02-28,26.7,0.0,54.6,23.8,5.43,34,438.0,0.46,0.29,8.0,7.0,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,10,Leve,59,9,2,Verão,17.9,25.6,125.8,25.1,24.3,24.5,2
RODO_KM_01,2023-03-01,19.6,0.0,61.5,14.4,3.26,32,459.4,0.46,0.29,8.5,7.6,4.0,16.4,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,11,Leve,60,9,3,Outono,17.9,25.6,93.8,24.1,24.1,24.4,3
RODO_KM_01,2023-03-02,18.5,0.0,66.1,13.7,2.27,41,460.8,0.44,0.3,10.9,8.2,3.9,16.0,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,12,Leve,61,9,3,Outono,7.3,18.1,93.8,23.2,23.8,24.2,4
RODO_KM_01,2023-03-03,19.0,3.0,65.4,12.9,2.82,37,461.0,0.44,0.29,9.9,8.8,4.1,16.8,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,13,Leve,62,9,3,Outono,10.3,20.9,96.8,22.8,23.5,23.9,0
RODO_KM_01,2023-03-04,18.2,0.0,62.7,18.0,3.21,34,408.9,0.48,0.32,8.0,9.3,3.8,15.6,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-02-18,14,Leve,63,9,3,Outono,10.3,20.9,96.8,21.6,23.0,23.7,1
RODO_KM_01,2023-03-05,23.1,0.0,60.6,18.7,3.82,51,485.1,0.43,0.27,8.0,12.0,4.6,18.9,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,0,Moderada,64,9,3,Outono,3.0,20.9,78.8,21.3,23.2,23.5,2
RODO_KM_01,2023-03-06,20.6,0.0,65.5,15.6,3.54,31,442.3,0.41,0.25,8.2,0.6,4.1,16.8,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,1,Moderada,65,10,3,Outono,3.0,20.9,74.8,20.8,22.9,23.4,3
RODO_KM_01,2023-03-07,22.7,0.0,60.8,17.5,4.11,44,453.0,0.4,0.25,8.0,1.2,4.4,18.0,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,2,Moderada,66,10,3,Outono,3.0,20.9,74.8,20.2,22.8,23.3,4
RODO_KM_01,2023-03-08,21.0,0.0,60.1,16.5,3.77,45,457.9,0.42,0.27,8.0,1.8,4.1,16.8,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,3,Moderada,67,10,3,Outono,3.0,20.9,30.8,20.4,22.5,23.1,5
RODO_KM_01,2023-03-09,22.9,21.3,65.8,8.6,3.17,33,434.3,0.48,0.31,14.7,2.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,4,Moderada,68,10,3,Outono,24.3,42.2,52.1,21.1,22.3,23.0,0
RODO_KM_01,2023-03-10,17.6,0.0,67.4,18.6,3.17,32,462.7,0.43,0.27,12.8,3.1,4.1,16.8,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,5,Moderada,69,10,3,Outono,21.3,31.6,52.1,20.9,21.8,22.8,1
RODO_KM_01,2023-03-11,20.0,0.0,68.4,17.7,3.43,44,452.7,0.46,0.29,13.8,3.8,4.5,18.4,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,6,Moderada,70,10,3,Outono,21.3,31.6,52.1,21.1,21.7,22.7,2
RODO_KM_01,2023-03-12,24.5,1.8,60.3,14.1,3.7,30,448.7,0.49,0.33,10.8,4.5,5.2,21.3,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,7,Moderada,71,10,3,Outono,23.1,33.4,53.9,21.3,21.6,22.6,0
RODO_KM_01,2023-03-13,21.1,0.0,62.8,18.2,3.8,35,438.6,0.45,0.3,11.3,5.2,4.6,18.9,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,8,Moderada,72,11,3,Outono,23.1,26.1,53.9,21.4,21.3,22.7,1
RODO_KM_01,2023-03-14,21.7,0.0,63.8,13.4,3.29,31,439.4,0.44,0.28,10.4,5.9,4.5,18.4,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,9,Moderada,73,11,3,Outono,23.1,26.1,52.2,21.3,21.1,22.7,2
RODO_KM_01,2023-03-15,25.6,0.0,56.0,13.3,4.2,47,444.4,0.41,0.26,8.0,6.6,5.0,20.5,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,10,Moderada,74,11,3,Outono,23.1,26.1,51.7,21.9,21.1,22.7,3
RODO_KM_01,2023-03-16,22.0,0.0,64.0,17.0,3.98,45,468.0,0.42,0.28,8.6,7.2,4.3,17.6,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,11,Moderada,75,11,3,Outono,1.8,26.1,51.7,21.8,21.2,22.7,4
RODO_KM_01,2023-03-17,22.1,0.0,61.3,15.4,3.65,39,417.5,0.42,0.27,8.7,7.8,4.3,17.6,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,12,Moderada,76,11,3,Outono,1.8,26.1,44.2,22.4,21.5,22.6,5
RODO_KM_01,2023-03-18,20.1,0.0,62.6,17.0,3.62,43,441.6,0.46,0.29,12.9,8.4,4.3,17.6,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,13,Moderada,77,11,3,Outono,1.8,23.1,44.0,22.4,21.5,22.5,6
RODO_KM_01,2023-03-19,23.6,0.0,62.1,15.9,3.38,51,482.9,0.41,0.28,8.0,9.0,4.4,18.0,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,14,Moderada,78,11,3,Outono,0.0,23.1,44.0,22.3,21.9,22.5,7
RODO_KM_01,2023-03-20,23.2,0.0,62.0,17.5,3.95,41,413.6,0.38,0.27,8.0,9.6,4.3,17.6,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,15,Moderada,79,12,3,Outono,0.0,23.1,44.0,22.6,21.9,22.5,8
RODO_KM_01,2023-03-21,19.1,6.1,63.8,13.2,3.26,35,441.9,0.45,0.29,10.5,11.0,4.2,17.2,Urochloa brizantha,Argissolo Vermelho-Amarelo,5.668695797323275,855.4123077662396,Sudoeste,2023-03-05,16,Moderada,80,12,3,Outono,6.1,29.2,50.1,22.2,21.8,22.4,0
